"ID","groupNr","subjectNr","period","check","relevant_decI","nAnimals","animalName","treatment","e1","e2","orderTrials","orderConfidence1","confidence","confidenceTreatment","consent_beg","consent_end","whichPart","qR1","qR2","qR3","social_info","social_confidence","goal","strategy","general","partA","remarks","age","gender","time_check","time_welcome","time_HIT description","time_Instructions 1","time_Instructions 2","time_Instructions 3","time_Instructions 4","time_Instructions 5","time_Instructions 6","time_Instructions 7","time_Instructions 8","time_Instructions 9","time_Instructions 10","time_quiz","time_get ready","time_watch pic","time_estimate 1","time_confidence","time_estimate 2","time_end of round","time_Questionnaire","time_earnings","time_Collect payment","s","target","distance","gender_factor"
1,0,0,1,NA,8,93,"ant",1,46,51,"1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1","1,3,1,3,3,1,1,1,3,2,2,3,3,2,3,2,1,1,3,1,1,3,1,3,3,1,1,1,3,2,2,3,3,2,3,2,1,1,3,1",7,1,1,1,2,1,1,1,57,2,NA,NA,NA,NA,NA,32,1,13,48,12,4,19,11,58,4,14,5,6,23,14,33,6,NA,5,3,13,10,NA,NA,NA,0.454545454545455,55.2,1.8,"female"
1,NA,NA,2,NA,NA,84,"bee",0,78,85,NA,NA,4,3,NA,NA,NA,NA,NA,NA,91,9,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,9,2,NA,NA,NA,0.538461538461538,93.6,2.59999999999999,"female"
1,NA,NA,3,NA,NA,58,"flamingo",0,48,48,NA,NA,7,1,NA,NA,NA,NA,NA,NA,55,4,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,6,2,NA,NA,NA,0,57.6,2.59999999999999,"female"
1,NA,NA,4,NA,NA,79,"crane",1,81,80,NA,NA,7,3,NA,NA,NA,NA,NA,NA,63,7,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,8,2,NA,NA,NA,0.0555555555555556,64.8,1.8,"female"
1,NA,NA,5,NA,NA,57,"cricket",1,41,41,NA,NA,9,3,NA,NA,NA,NA,NA,NA,49,9,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,6,2,NA,NA,NA,0,49.2,0.199999999999996,"female"
1,NA,NA,6,NA,NA,94,"ant",0,65,68,NA,NA,4,1,NA,NA,NA,NA,NA,NA,78,1,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,3,NA,NA,NA,0.230769230769231,78,0,"female"
1,NA,NA,7,NA,NA,44,"bee",0,47,45,NA,NA,6,1,NA,NA,NA,NA,NA,NA,40,1,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,6,2,NA,NA,NA,0.285714285714286,37.6,2.4,"female"
1,NA,NA,8,NA,NA,76,"flamingo",1,56,56,NA,NA,8,1,NA,NA,NA,NA,NA,NA,67,3,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,5,2,NA,NA,NA,0,67.2,0.200000000000003,"female"
1,NA,NA,9,NA,NA,98,"crane",0,64,65,NA,NA,6,3,NA,NA,NA,NA,NA,NA,72,8,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,7,1,NA,NA,NA,0.125,76.8,4.8,"female"
1,NA,NA,10,NA,NA,62,"cricket",1,52,53,NA,NA,6,2,NA,NA,NA,NA,NA,NA,61,6,NA,NA,NA,NA,NA,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,6,2,NA,NA,NA,0.111111111111111,62.4,1.4,"female"
